refdes,section,ref_num,role,part,lcsc,fit,symbol,footprint,place,note
C79,8. Audio-out + Bluetooth (Tier-2),106,PCM5102A supply bulk,CL21A106KOQNNNE,C1713,JLC,easyeda2kicad:CL21A106KOQNNNE,easyeda2kicad:C0805,yes,
C80,8. Audio-out + Bluetooth (Tier-2),106,PCM5102A supply bulk,CL21A106KOQNNNE,C1713,JLC,easyeda2kicad:CL21A106KOQNNNE,easyeda2kicad:C0805,yes,
C81,8. Audio-out + Bluetooth (Tier-2),107,PCM5102A charge-pump caps,CC0805KKX7R9BB225,C125847,JLC,easyeda2kicad:CC0805KKX7R9BB225,easyeda2kicad:C0805,yes,
C82,8. Audio-out + Bluetooth (Tier-2),107,PCM5102A charge-pump caps,CC0805KKX7R9BB225,C125847,JLC,easyeda2kicad:CC0805KKX7R9BB225,easyeda2kicad:C0805,yes,
R35,8. Audio-out + Bluetooth (Tier-2),108,PCM5102A anti-imaging R,UNI-ROYAL 0603WAF4700T5E,C23179,JLC,easyeda2kicad:0603WAF4700T5E,easyeda2kicad:R0603,yes,
R36,8. Audio-out + Bluetooth (Tier-2),108,PCM5102A anti-imaging R,UNI-ROYAL 0603WAF4700T5E,C23179,JLC,easyeda2kicad:0603WAF4700T5E,easyeda2kicad:R0603,yes,
C83,8. Audio-out + Bluetooth (Tier-2),109,PCM5102A anti-imaging C,Samsung CL10C222JB8NNNC,C33353,JLC,easyeda2kicad:CL10C222JB8NNNC,easyeda2kicad:C0603,yes,
C84,8. Audio-out + Bluetooth (Tier-2),109,PCM5102A anti-imaging C,Samsung CL10C222JB8NNNC,C33353,JLC,easyeda2kicad:CL10C222JB8NNNC,easyeda2kicad:C0603,yes,
U20,8. Audio-out + Bluetooth (Tier-2),110,Stereo headphone amp,TI TPA6132A2RTER,C69901,JLC,easyeda2kicad:TPA6132A2RTER,easyeda2kicad:WQFN-16_L3.0-W3.0-P0.50-TL-EP1.6,yes,
C85,8. Audio-out + Bluetooth (Tier-2),111,TPA6132A2 1 µF caps,CL10A105KB8NNNC,C15849,JLC,easyeda2kicad:CL10A105KB8NNNC,easyeda2kicad:C0603,yes,
C86,8. Audio-out + Bluetooth (Tier-2),111,TPA6132A2 1 µF caps,CL10A105KB8NNNC,C15849,JLC,easyeda2kicad:CL10A105KB8NNNC,easyeda2kicad:C0603,yes,
C87,8. Audio-out + Bluetooth (Tier-2),111,TPA6132A2 1 µF caps,CL10A105KB8NNNC,C15849,JLC,easyeda2kicad:CL10A105KB8NNNC,easyeda2kicad:C0603,yes,
C88,8. Audio-out + Bluetooth (Tier-2),111,TPA6132A2 1 µF caps,CL10A105KB8NNNC,C15849,JLC,easyeda2kicad:CL10A105KB8NNNC,easyeda2kicad:C0603,yes,
C89,8. Audio-out + Bluetooth (Tier-2),112,TPA6132A2 2.2 µF caps,CC0805KKX7R9BB225,C125847,JLC,easyeda2kicad:CC0805KKX7R9BB225,easyeda2kicad:C0805,yes,
C90,8. Audio-out + Bluetooth (Tier-2),112,TPA6132A2 2.2 µF caps,CC0805KKX7R9BB225,C125847,JLC,easyeda2kicad:CC0805KKX7R9BB225,easyeda2kicad:C0805,yes,
C91,8. Audio-out + Bluetooth (Tier-2),113,TPA6132A2 VDD HF cap,CC0603KRX7R9BB104,C14663,JLC,easyeda2kicad:CC0603KRX7R9BB104,easyeda2kicad:C0603,yes,
R37,8. Audio-out + Bluetooth (Tier-2),114,TPA6132A2 EN pull-down,RC0603FR-07100KL,C14675,JLC,easyeda2kicad:RC0603FR-07100KL,easyeda2kicad:R0603,yes,
Audio1,8. Audio-out + Bluetooth (Tier-2),115,3.5 mm headphone jack,PJ-327C-4A,C145813,JLC,easyeda2kicad:PJ-327C-4A,easyeda2kicad:AUDIO-SMD_PJ-327C-4A,yes,
