refdes,pin,net,kind,note
U1,1,+3V3,pwr,VBAT — no coin cell: tie to VDD (#1)
U1,2,,,PC13
U1,3,,,PC14-OSC32_IN
U1,4,,,PC15_OSC32_OUT
U1,5,HSE_IN,,"PH0_OSC_IN — OSC_IN, 8 MHz crystal (#74)"
U1,6,HSE_OUT_MCU,,PH1_OSC_OUT — OSC_OUT via 0 Ω series R (#77)
U1,7,NRST,,NRST — 100 nF filter + SWD pin 5; internal pull-up
U1,8,EXP_INT,,PC0 — EXTI0 ← PCA9555 INT
U1,9,BT_EN,,"PC1 — push-pull → BT830 VREG_EN_RST# (boot low, then high)"
U1,10,CHG_STAT,,PC2 — EXTI2 ← BQ24074 /CHG (+10k pull-up)
U1,11,CHG_PGOOD,,PC3 — EXTI3 ← BQ24074 /PGOOD (+10k pull-up)
U1,12,GND,gnd,VSSA/VREF-
U1,13,+3V3A,pwr,VDDA/VREF+ — after ferrite FB (#5)
U1,14,BAT_SENSE,,PA0 — ADC1_IN0 ← BAT/2 divider (#51)
U1,15,,,PA1
U1,16,UART2_TX,,PA2 — USART2 console TX
U1,17,UART2_RX,,PA3 — USART2 console RX
U1,18,GND,gnd,VSS
U1,19,+3V3,pwr,VDD
U1,20,PPU_SPI_CS,,PA4 — SPI1 CS → iCE40 pin 18
U1,21,PPU_SPI_SCK,,PA5 — SPI1 SCK → iCE40 pin 20
U1,22,,,PA6 — SPI1 MISO unused — PPU bus is write-only
U1,23,PPU_SPI_MOSI,,PA7 — SPI1 MOSI → iCE40 pin 21
U1,24,,,PC4
U1,25,,,PC5
U1,26,NOR_CS,,PB0 — W25Q128 /CS (+10k pull-up)
U1,27,FPGA_CRESET_B,,PB1 — iCE40 CRESET_B
U1,28,FPGA_CDONE,,PB2 — iCE40 CDONE (poll; EXTI2 is PC2)
U1,29,IMU_INT1,,"PB10 — EXTI10 ← LSM6DSOX INT1 (input, no pull at boot)"
U1,30,VCAP1,,VCAP_1 — 4.7 µF to GND
U1,31,GND,gnd,VSS
U1,32,+3V3,pwr,VDD
U1,33,I2S2_WS,,PB12 — I2S2 WS → MAX98357A LRCLK
U1,34,I2S2_CK,,PB13 — I2S2 CK → MAX98357A BCLK
U1,35,,,PB14
U1,36,I2S2_SD,,PB15 — I2S2 SD → MAX98357A DIN
U1,37,LCD_LITE,,"PC6 — TIM3_CH1 open-drain PWM → 2090 LITE; internal pulls OFF (node ~4.5 V, FT pin)"
U1,38,,,PC7
U1,39,,,PC8
U1,40,,,PC9 — MCO2 test point for HSE if needed
U1,41,,,PA8 — kept free: I2C3_SCL escape bus
U1,42,USART1_TX,,PA9 — BT HCI TX → BT830 UART_RX
U1,43,USART1_RX,,PA10 — BT HCI RX ← BT830 UART_TX
U1,44,USART1_CTS,,PA11 — BT HCI CTS ← BT830 UART_RTS#
U1,45,USART1_RTS,,PA12 — BT HCI RTS → BT830 UART_CTS#
U1,46,SWDIO,,PA13
U1,47,GND,gnd,VSS
U1,48,+3V3,pwr,VDD
U1,49,SWCLK,,PA14
U1,50,,,PA15
U1,51,SPI3_SCK,,PC10 — SPI3 SCK → W25Q128 + iCE40 config
U1,52,SPI3_MISO,,PC11 — SPI3 MISO ← W25Q128 DO + iCE40 SPI_SO
U1,53,SPI3_MOSI,,PC12 — SPI3 MOSI → W25Q128 DI + iCE40 SPI_SI
U1,54,,,PD2
U1,55,,,PB3
U1,56,,,PB4 — kept free: I2C3_SDA escape bus
U1,57,,,PB5
U1,58,FPGA_SS_B,,PB6 — iCE40 SPI_SS (10k pull-down = slave-boot strap)
U1,59,,,PB7
U1,60,BOOT0,,BOOT0 — 10k pull-down: boot from main flash
U1,61,I2C1_SCL,,PB8
U1,62,I2C1_SDA,,PB9
U1,63,GND,gnd,VSS
U1,64,+3V3,pwr,VDD
C1,1,+3V3,pwr,1
C1,2,GND,gnd,2
C2,1,+3V3,pwr,1
C2,2,GND,gnd,2
C3,1,+3V3,pwr,1
C3,2,GND,gnd,2
C4,1,+3V3,pwr,1
C4,2,GND,gnd,2
C5,1,+3V3,pwr,1
C5,2,GND,gnd,2
C6,1,NRST,,1
C6,2,GND,gnd,2
C7,1,VCAP1,,1
C7,2,GND,gnd,2
C8,1,+3V3,pwr,1
C8,2,GND,gnd,2
FB1,1,+3V3,pwr,1
FB1,2,+3V3A,pwr,2
C9,1,+3V3A,pwr,1
C9,2,GND,gnd,2
C10,1,+3V3A,pwr,1
C10,2,GND,gnd,2
R1,1,BOOT0,,1
R1,2,GND,gnd,2
J1,1,+3V3,pwr,1
J1,2,SWDIO,,2
J1,3,SWCLK,,3
J1,4,GND,gnd,4
J1,5,NRST,,5
J2,1,GND,gnd,1
